gender,age,counts_pictures,counts_profileVisits,counts_kisses,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,connectedToFacebook,isVIP,isVerified,lang_count,lang_fr,lang_en,lang_de,lang_it,lang_es,lang_pt,city
1,20,4,31435,1978,1,1,1,0,0,0,2,0,0,1,1,0,0,Bremgarten bei Bern
1,24,27,28159,638,1,1,0,0,0,0,1,0,0,1,0,0,0,Radolfzell am Bodensee
1,22,11,5550,450,0,1,0,0,0,0,1,0,0,1,0,0,0,Freiburg im Breisgau
1,19,8,1255,52,1,1,0,0,0,0,1,0,0,1,0,0,0,Zug
1,23,4,5177,467,1,1,1,0,0,1,2,0,1,1,0,0,0,Dubendorf
1,26,11,25845,1898,1,1,1,0,0,0,5,0,1,1,0,0,0,Sindelfingen
1,25,7,8143,317,0,0,1,0,0,1,2,0,0,1,0,0,0,Köln
1,24,10,10861,593,1,0,0,0,0,0,1,0,0,1,0,0,0,Remagen
1,21,21,52465,3739,1,0,1,0,0,0,1,0,0,1,0,0,0,Fribourg
1,24,4,1076,20,1,1,1,0,0,0,1,0,0,1,0,0,0,Neuenburg am Rhein
1,22,8,19690,551,1,0,1,0,0,1,1,0,0,1,0,0,0,Bregenz
1,20,19,28293,1027,0,0,0,0,0,0,2,0,0,1,0,0,0,Basel
1,24,17,43796,2750,1,1,1,0,0,1,1,0,0,1,0,0,0,"Emmenbrücke (Lucerna, Schweiz)"
1,19,7,5101,158,1,0,0,0,0,0,2,1,0,1,0,0,0,Lenk im Simmental
1,20,4,9850,241,1,0,0,0,0,1,1,0,0,1,0,0,0,"Samstagern (Zurich, Schweiz)"
1,19,4,21224,316,1,0,0,0,0,1,3,0,1,1,0,0,0,Kingston
1,19,9,4335,355,1,0,0,0,0,0,1,0,0,1,0,0,0,Brig
1,19,4,12754,644,1,0,0,0,0,0,1,0,0,1,0,0,0,Fribourg
1,26,4,3441,88,0,0,1,0,0,0,1,0,0,1,0,0,0,Mühlhausen-Ehingen
1,19,10,18731,644,1,0,0,0,0,1,1,0,0,1,0,0,0,Lengnau
1,21,16,5450,298,1,0,0,0,0,1,9,1,1,1,1,1,1,Liestal
1,19,1,29903,2146,1,1,0,0,0,0,3,1,0,1,0,0,0,Zürich
1,24,11,14526,1116,0,0,1,0,0,1,1,0,0,1,0,0,0,Grabs
1,24,15,3769,276,1,1,0,0,0,0,1,0,0,1,0,0,0,Visperterminen
1,20,6,7662,189,1,0,0,0,0,0,1,0,0,1,0,0,0,Eggingen
1,19,6,7571,396,0,0,1,0,0,0,1,0,0,1,0,0,0,Wikon
1,19,13,7842,142,1,1,0,0,0,0,2,0,0,1,0,0,0,Winterthur
1,23,4,3959,188,1,0,0,0,0,1,1,0,0,1,0,0,0,Stuttgart
1,23,1,1797,40,0,0,1,0,0,1,1,0,0,1,0,0,0,Lahr
1,20,6,30847,1861,1,0,0,0,0,0,1,0,0,1,0,0,0,Zürich
1,23,2,12671,338,1,0,1,0,0,0,1,0,0,1,0,0,0,Karlsruhe
1,20,11,7465,247,1,1,0,0,0,0,1,0,0,1,0,0,0,Bern
1,20,12,23168,520,1,0,0,0,0,1,1,0,0,1,0,0,0,Bern
1,25,25,27375,885,0,0,1,0,0,1,1,0,0,1,0,0,0,Bern
1,20,12,15236,764,1,0,0,0,0,0,1,0,0,1,0,0,0,Biel
1,19,5,1167,29,1,1,1,0,0,0,1,0,0,1,0,0,0,Lörrach
1,19,11,22226,2338,1,1,1,0,0,1,1,0,0,1,0,0,0,Zürich
1,20,5,19653,759,0,0,1,0,0,0,1,0,0,1,0,0,0,Solothurn
1,19,11,13194,225,1,1,0,0,0,1,1,0,0,1,0,0,0,Basel
1,22,13,47475,2137,1,1,0,0,0,1,1,0,0,1,0,0,0,Zurigo
1,21,14,24369,1559,1,1,1,0,0,0,1,0,0,1,0,0,0,Villmergen
1,22,3,1359,42,1,0,0,0,0,1,1,0,0,1,0,0,0,Unterseen
1,24,9,7014,216,1,1,0,0,0,1,1,0,0,1,0,0,0,Zürich
1,23,18,20823,864,1,1,1,0,0,1,2,0,0,1,1,0,0,Zürich
1,19,5,12344,234,1,0,0,0,0,0,1,0,0,1,0,0,0,Hamburg
1,19,6,1934,57,1,0,0,0,0,0,1,0,0,1,0,0,0,Basel
1,19,9,3217,180,1,1,1,0,0,1,3,1,1,1,0,0,0,Bolligen
1,24,4,14267,670,0,0,1,0,0,0,3,0,0,1,0,1,1,Birmensdorf
1,19,11,6819,164,1,1,1,0,0,1,1,0,0,1,0,0,0,Zürich
1,19,9,5270,64,0,1,1,0,0,1,1,0,0,1,0,0,0,Schattdorf
1,25,3,44,3,0,0,1,0,0,0,1,0,0,1,0,0,0,Zürich
1,22,4,690,6,0,1,0,0,1,0,1,0,0,1,0,0,0,Köln
1,21,3,1058,62,1,0,0,0,0,0,1,0,0,1,0,0,0,Bern
1,21,20,44883,3556,0,0,1,0,0,0,1,0,0,1,0,0,0,Zürich
1,21,20,17092,461,1,0,0,0,0,1,1,0,0,1,0,0,0,Zürich
1,20,6,49039,4269,1,1,0,0,0,0,1,0,0,1,0,0,0,Zürich
1,22,5,19421,323,1,1,0,0,0,0,1,0,0,1,0,0,0,Basel
1,23,16,164425,9288,1,1,1,0,0,1,2,0,0,1,0,0,0,Köln
1,23,13,12405,238,0,1,1,0,0,0,1,0,0,1,0,0,0,Stans
1,25,3,5481,164,1,0,0,0,0,0,1,0,0,1,0,0,0,Köln
1,19,16,4940,300,1,0,0,0,0,1,1,0,0,1,0,0,0,Singeloe
1,23,11,4621,88,1,1,1,0,0,1,1,0,0,1,0,0,0,Köln
1,21,30,4946,115,1,1,0,0,0,0,3,0,1,1,0,0,0,Waldshut-Tiengen
1,21,3,3075,106,1,0,0,0,0,0,1,0,0,1,0,0,0,Sissach
1,24,8,24814,500,0,0,0,0,0,0,1,0,0,1,0,0,0,Wiesbaden
1,19,4,22468,1306,1,1,1,0,0,1,0,0,0,0,0,0,0,Härkingen
1,20,7,9139,333,1,0,1,0,0,1,1,0,0,1,0,0,0,Kerzers
1,22,4,6912,242,1,1,1,0,0,0,1,0,0,1,0,0,0,Birrwil
1,20,2,8482,234,1,0,0,0,0,0,1,0,0,1,0,0,0,Schaffhausen
1,20,3,1693,43,1,0,1,0,0,0,1,0,0,1,0,0,0,Freiburg im Breisgau
1,19,5,4098,426,0,1,1,0,0,1,1,0,0,1,0,0,0,Tecknau
1,21,8,17539,452,0,0,1,0,0,1,1,0,0,1,0,0,0,Aarau
1,23,5,297,4,0,0,1,0,0,0,1,0,0,1,0,0,0,Frankfurt am Main
1,20,8,18269,735,1,1,1,0,0,1,1,0,0,1,0,0,0,Basel
1,19,5,14676,1003,1,1,0,0,0,1,3,0,1,1,1,0,0,Aarburg
1,20,6,34942,1235,1,1,1,0,0,1,4,0,1,1,1,0,0,Köln
1,22,3,10921,729,1,1,1,0,0,0,1,1,0,0,0,0,0,Genève
1,23,4,34272,1046,1,0,0,0,0,1,1,0,0,1,0,0,0,Brauweiler (Rheinland-Pfalz)
1,21,5,5362,93,1,0,0,0,0,0,1,0,0,1,0,0,0,Luzern
1,20,10,25724,862,1,0,0,0,0,0,1,0,0,1,0,0,0,Offenburg
1,21,4,13493,481,0,0,1,0,0,0,1,0,0,1,0,0,0,Zug
1,20,19,22291,640,1,1,0,0,0,1,1,0,0,1,0,0,0,Bern
1,20,6,18459,1106,1,0,1,0,0,0,1,0,0,1,0,0,0,Weil am Rhein
1,21,22,13070,618,0,1,0,0,0,0,1,0,0,1,0,0,0,Kandern
1,24,4,18114,1346,1,1,1,0,0,0,1,0,0,1,0,0,0,Rheinfelden (Baden)
1,24,8,8009,271,1,1,1,0,0,1,1,0,0,1,0,0,0,Lachen
1,24,8,24428,889,1,0,0,0,0,0,1,0,0,1,0,0,0,Alzey
1,22,6,15870,906,1,0,0,0,0,1,1,0,0,1,0,0,0,Bern
1,21,3,5208,217,0,0,1,0,0,0,3,1,1,1,0,0,0,Olten
1,22,8,6029,200,1,1,1,0,0,1,3,0,1,1,0,0,0,Zürich
1,22,1,12359,239,0,0,0,0,0,0,2,0,1,1,0,0,0,Zürich
